timestamp,sensor_name,x,y,z
2025-03-16T03:54:28.783858,LSM6DS3,2.99,0.18,-1.95
2025-03-16T03:54:33.790174,LSM6DS3,-1.77,0.18,3.91
2025-03-16T03:54:38.803049,LSM6DS3,15.2,16.48,-53.71
2025-03-16T03:54:43.820313,LSM6DS3,0.43,-4.03,0.12
2025-03-16T03:54:48.789585,LSM6DS3,3.66,0.79,2.87
2025-03-16T03:54:53.862631,LSM6DS3,2.08,-2.14,1.59
2025-03-16T03:54:58.899249,LSM6DS3,-0.12,0.67,1.28
2025-03-16T03:55:03.913242,LSM6DS3,1.77,0.92,-1.16
2025-03-16T03:55:08.831504,LSM6DS3,0.37,-0.18,0.67
2025-03-16T03:55:13.878120,LSM6DS3,1.1,0.67,-0.18
2025-03-16T03:55:18.902248,LSM6DS3,-3.91,-2.14,-2.01
2025-03-16T03:55:23.913398,LSM6DS3,5.13,2.38,0.0
2025-03-16T03:55:29.003227,LSM6DS3,-20.14,23.5,-86.18
2025-03-16T03:55:33.906291,LSM6DS3,11.35,-5.55,4.52
2025-03-16T03:55:38.944221,LSM6DS3,1.28,4.09,-2.81
2025-03-16T03:55:44.053464,LSM6DS3,1.71,4.88,1.22
2025-03-16T03:55:48.940738,LSM6DS3,-0.12,-2.69,3.36
2025-03-16T03:55:53.980616,LSM6DS3,1.95,1.83,-2.62
2025-03-16T03:55:59.100328,LSM6DS3,1.46,-1.46,2.2
2025-03-16T03:56:04.023057,LSM6DS3,1.65,0.24,0.12
2025-03-16T03:56:09.026409,LSM6DS3,0.0,4.15,2.14
2025-03-16T03:56:14.019431,LSM6DS3,-4.09,7.69,-0.98
2025-03-16T03:56:19.026319,LSM6DS3,-0.37,-9.77,-5.62
2025-03-16T03:56:24.106468,LSM6DS3,9.22,-2.99,13.92
2025-03-16T03:56:29.084766,LSM6DS3,-18.49,24.54,-2.32
2025-03-16T03:56:34.109643,LSM6DS3,2.08,-4.39,2.44
2025-03-16T03:56:39.120327,LSM6DS3,-70.62,30.09,-54.57
2025-03-16T03:56:44.138451,LSM6DS3,-33.94,8.73,-9.89
2025-03-16T03:56:49.099200,LSM6DS3,9.77,23.38,-2.14
