sensor_name,timestamp,x,y,z
LSM6DS3,2312406,0.79,0.18,0.55
LSM6DS3,2317412,0.49,0.18,0.43
LSM6DS3,2322419,0.55,0.18,0.49
LSM6DS3,2327426,0.55,0.24,0.43
LSM6DS3,2332432,0.55,0.18,0.43
LSM6DS3,2337439,0.49,0.24,0.31
LSM6DS3,2342445,0.55,0.24,0.37
LSM6DS3,2347452,0.37,0.18,0.12
LSM6DS3,2352458,0.18,0.12,0.55
LSM6DS3,2357465,0.49,0.24,0.43
LSM6DS3,2362471,0.61,0.18,0.55
LSM6DS3,2367478,0.49,0.18,0.37
LSM6DS3,2372484,0.61,0.24,0.37
LSM6DS3,2377491,0.49,0.24,0.43
LSM6DS3,2382498,0.55,0.18,0.43
LSM6DS3,2387504,0.55,0.24,0.37
LSM6DS3,2392511,0.49,0.18,0.43
LSM6DS3,2397517,0.49,0.24,0.43
LSM6DS3,2402524,0.55,0.18,0.37
LSM6DS3,2407530,0.55,0.24,0.37
LSM6DS3,2412537,0.55,0.18,0.43
LSM6DS3,2417544,-0.43,0.24,-0.85
LSM6DS3,2422550,0.49,0.18,0.43
LSM6DS3,2427557,0.61,0.24,0.43
LSM6DS3,2432564,0.49,0.24,0.43
LSM6DS3,2437570,0.55,0.18,0.37
LSM6DS3,2442577,0.55,0.24,0.43
LSM6DS3,2447584,0.61,0.12,0.67
LSM6DS3,2452590,0.61,0.24,0.31
LSM6DS3,2457597,0.55,0.24,0.37
LSM6DS3,2462603,0.49,0.18,0.43
LSM6DS3,2467610,0.49,0.18,0.37
LSM6DS3,2472616,0.61,0.18,0.61
LSM6DS3,2477623,0.55,0.18,0.49
LSM6DS3,2482629,0.55,0.24,0.37
LSM6DS3,2487636,0.55,0.24,0.37
LSM6DS3,2492642,0.49,0.18,0.43
LSM6DS3,2497649,0.61,0.18,0.37
LSM6DS3,2502656,0.55,0.24,0.43
LSM6DS3,2507663,0.61,0.24,0.43
LSM6DS3,2512669,0.49,0.18,0.37
LSM6DS3,2517676,0.55,0.24,0.37
LSM6DS3,2522682,0.49,0.18,0.37
LSM6DS3,2527689,0.55,0.24,0.43
LSM6DS3,2532695,0.67,0.12,0.98
LSM6DS3,2537702,0.61,0.18,0.43
LSM6DS3,2542708,0.61,0.24,0.37
LSM6DS3,2547715,0.49,0.24,0.37
LSM6DS3,2552722,0.55,0.24,0.37
LSM6DS3,2557728,0.55,0.24,0.43
LSM6DS3,2562735,0.55,0.18,0.37
LSM6DS3,2567741,0.61,0.24,0.37
LSM6DS3,2572748,0.55,0.18,0.37
LSM6DS3,2577754,0.61,0.18,0.43
LSM6DS3,2582761,0.55,0.18,0.43
LSM6DS3,2587767,0.61,0.24,0.43
LSM6DS3,2592774,0.49,0.18,0.37
LSM6DS3,2597780,0.55,0.18,0.37
LSM6DS3,2602787,0.49,0.24,0.31
LSM6DS3,2607794,0.61,0.24,0.37
LSM6DS3,2612801,0.55,0.18,0.37
LSM6DS3,2617808,0.49,0.18,0.37
LSM6DS3,2622814,0.55,0.18,0.43
LSM6DS3,2627821,0.67,0.24,0.31
LSM6DS3,2632827,0.55,0.18,0.43
LSM6DS3,2637834,0.43,0.18,0.43
LSM6DS3,2642841,0.67,0.24,0.37
LSM6DS3,2647847,0.49,0.18,0.37
LSM6DS3,2652854,0.55,0.18,0.37
LSM6DS3,2657860,0.61,0.31,0.31
LSM6DS3,2662867,0.79,0.37,0.31
LSM6DS3,2667873,0.55,0.24,0.37
LSM6DS3,2672879,0.55,0.18,0.37
LSM6DS3,2677886,0.49,0.18,0.37
LSM6DS3,2682893,0.43,0.18,0.37
