Time(ms),X,Y,Z
54644,0.61,0.37,0.49
54748,0.49,0.12,0.37
54850,0.49,0.06,0.55
54953,0.98,0.18,0.37
55056,0.31,0.85,0.85
55158,1.65,0.43,0.67
55261,2.01,1.16,0.00
55364,1.71,0.24,0.61
55467,0.18,0.37,0.43
55570,1.40,0.49,0.85
55673,0.49,1.10,0.55
55776,-0.18,-0.12,0.37
55879,-0.73,-0.06,-0.24
55982,0.37,0.67,0.49
56085,1.16,-0.43,0.31
56188,0.31,0.43,0.31
56291,0.49,-0.18,0.31
56394,1.04,-0.12,0.37
56497,0.85,0.49,0.43
56600,1.53,0.31,0.43
56704,2.01,-0.06,0.85
56806,0.37,1.10,0.37
56909,1.28,0.00,1.28
57012,0.43,0.18,0.24
57115,0.98,-1.16,0.73
57217,0.43,1.10,0.73
57320,1.10,-0.31,0.49
57424,1.34,-0.31,-0.06
57527,0.06,0.98,0.06
57630,0.92,-0.06,0.31
57733,0.85,-0.12,0.55
57835,1.65,0.85,0.49
57938,1.22,-0.79,0.43
58041,0.55,0.49,0.43
58144,0.12,-0.24,0.12
58246,0.06,-0.37,0.12
58349,0.73,0.79,0.55
58452,0.98,0.06,0.49
58556,0.55,0.24,0.55
58658,0.06,0.12,0.61
58761,-0.18,-0.73,0.85
58865,1.04,-0.67,0.61
58968,-0.24,2.20,0.18
59071,-0.12,0.24,0.79
59173,-4.88,4.58,5.00
59276,0.79,-0.73,0.55
59379,2.32,0.49,0.43
59482,1.89,-0.73,0.73
59585,0.98,0.24,0.55
59689,-0.18,1.04,0.24
59791,0.37,0.73,0.55
59894,0.31,-0.55,0.31
59997,0.43,0.49,0.18
60099,1.53,0.06,0.55
60202,0.79,0.24,0.37
60305,0.92,0.06,0.18
60408,0.43,0.37,0.31
60511,0.55,0.92,0.37
60614,0.85,0.12,0.49
60717,0.55,0.18,0.43
60820,0.61,0.12,0.37
60922,0.73,0.31,0.79
61024,0.49,0.43,0.43
61127,0.79,0.55,0.24
61229,0.67,0.31,0.55
61332,0.73,0.24,0.55
61435,0.73,-0.06,0.49
61539,0.49,0.06,0.43
61641,0.55,0.18,0.43
61745,0.55,0.31,-0.06
61848,1.40,-1.10,0.73
61951,0.31,0.49,0.18
62053,0.67,0.06,0.37
62156,0.79,0.12,0.49
62259,0.49,0.37,0.37
62362,0.55,-0.43,0.49
62464,0.61,0.06,0.31
62567,0.43,0.31,0.24
62670,0.24,-0.37,0.37
62773,0.73,-0.12,0.00
62876,1.04,0.55,0.18
62978,0.98,-0.61,0.43
63081,0.37,0.67,0.24
63184,-0.85,0.18,0.37
63287,1.40,0.85,0.49
63389,-0.43,0.49,0.24
63492,1.22,-0.85,1.10
63595,1.65,0.37,0.37
63698,-1.10,0.49,-0.37
63801,0.24,-0.06,0.24
63904,0.49,0.73,0.73
64006,0.98,-0.55,0.61
64109,0.79,0.06,0.49
64212,0.43,0.55,0.37
64315,1.10,-0.37,-0.06
64418,1.10,-0.31,0.55
64522,1.34,-0.31,0.61
64625,0.24,0.61,0.31
64728,1.89,0.06,1.10
64832,1.04,0.49,0.37
64935,0.92,0.43,0.12
65038,0.49,0.12,0.37
65140,1.04,-0.24,0.43
65243,0.24,0.18,0.31
65346,0.43,0.31,0.43
65450,1.22,-0.12,0.06
65553,0.37,-0.31,0.37
65656,0.49,0.31,0.43
65759,0.37,0.00,0.43
65862,0.61,0.06,0.55
65965,0.85,-0.31,0.79
66067,0.55,0.43,0.37
66170,0.92,0.06,0.43
66272,0.49,0.06,0.31
66375,0.55,0.55,0.61
66478,0.12,1.28,0.06
66581,0.67,-0.31,0.24
66683,0.98,0.31,0.43
66786,0.79,0.06,0.49
66889,0.73,0.37,0.31
66991,0.31,0.18,0.24
67094,0.24,0.24,0.43
67196,1.10,0.00,0.49
67299,1.59,-0.67,0.55
67402,0.31,0.18,0.18
67505,0.37,0.61,0.31
67608,0.31,0.31,0.31
67711,0.79,0.18,0.31
67814,0.12,0.31,0.49
67917,0.85,-0.55,0.31
68020,0.79,-0.24,0.49
68123,0.00,0.18,0.43
68226,1.10,-1.28,0.92
68329,0.49,0.55,0.24
68432,0.73,-0.12,0.55
68535,1.40,-0.12,0.43
68638,0.92,0.67,0.49
68741,0.73,0.55,0.43
68845,0.49,-0.24,0.37
68947,-0.55,0.18,0.31
69050,2.08,0.92,0.67
69153,1.04,0.18,0.31
69255,-0.06,0.24,0.31
69358,-0.61,-0.37,-0.49
69461,1.22,-0.12,0.73
69564,0.92,0.24,-0.06
69668,0.06,-0.06,0.00
69771,-2.44,2.01,-0.73
69873,-0.61,1.34,-0.55
69976,-2.08,-0.06,-4.58
70078,-2.26,5.25,-3.66
70181,-4.64,1.65,-5.74
70284,-3.91,0.49,-1.77
70387,-6.35,-2.08,-4.52
70490,-6.65,-0.67,-2.08
70592,-9.70,-4.03,-3.30
70695,0.12,1.59,0.49
70797,-0.73,1.22,0.49
70900,7.08,1.46,3.48
71003,-0.37,-0.73,1.40
71106,-1.40,-0.85,0.61
71209,0.98,-0.12,0.37
