Time(ms),X,Y,Z
123154,-99.55,505.55,14.40
123257,-112.49,-167.72,262.08
123360,-500.18,-545.72,-227.05
123464,291.44,358.76,-495.85
123566,324.04,63.54,33.08
123669,-333.74,-319.64,-233.28
123772,-346.62,234.92,413.51
123875,431.70,7.69,-414.25
123978,-281.19,-24.90,167.11
124082,-397.46,-469.97,-31.49
124184,96.01,264.47,-223.51
124288,139.53,558.41,239.87
124390,76.11,261.90,-86.36
124492,-250.18,-331.18,0.31
124596,39.25,-14.83,-320.01
124699,-315.19,-602.78,-7.63
124802,-61.04,277.47,298.52
124905,266.72,388.79,22.03
125008,98.27,-114.14,5.80
125111,-521.36,-615.60,239.81
125213,103.09,211.24,-18.74
125316,212.95,331.12,39.12
125419,95.76,-118.71,39.92
125523,-541.56,-644.59,5.31
125625,200.38,587.10,26.55
125728,134.77,282.84,-168.76
125831,-183.72,-546.69,-36.25
125935,-6.71,817.63,-63.72
126038,75.13,179.44,-20.39
126141,-43.95,-62.01,93.69
126244,-576.78,-276.92,157.29
126347,-2.20,-232.67,-152.34
126449,177.31,319.46,-125.92
126551,238.83,410.77,-108.64
126654,-206.60,-501.16,42.05
126757,-308.47,-328.25,-94.79
126860,65.98,594.97,-51.03
126963,203.67,-84.72,97.41
127067,-368.10,-751.83,263.49
127170,214.54,623.17,-51.45
127273,192.93,436.28,-70.43
127376,171.57,-387.02,-81.48
127478,-193.66,-606.93,-49.13
127581,2.75,30.40,-172.06
127684,59.69,498.05,-91.43
127786,67.93,270.57,163.70
127889,-44.86,-51.64,419.19
127992,118.23,91.06,212.16
128095,96.92,436.52,-232.54
128198,65.49,92.65,-111.88
128301,-254.64,-521.97,38.15
128404,-335.82,-594.24,63.42
128507,-93.44,-13.43,-53.65
128610,23.80,94.91,-234.56
128713,177.43,-139.59,-2.20
128816,164.73,62.74,61.95
128919,304.20,787.29,-187.32
129022,-149.29,-416.93,-35.71
129126,-439.09,-588.38,-16.60
129228,159.73,237.85,-150.33
129331,299.26,-142.70,-49.32
129434,-42.05,-132.93,265.14
129536,282.90,657.65,13.12
129639,192.08,-153.99,91.19
129742,-529.91,-594.79,235.41
129846,200.20,221.31,-87.89
129949,0.31,26.79,76.48
130052,68.54,251.16,314.94
130154,425.78,218.75,-231.26
130258,-177.98,-493.29,459.72
130360,-351.99,31.74,-190.31
130463,125.12,251.83,-520.75
130566,-164.00,-140.20,304.26
130669,2.81,399.54,473.57
130771,230.29,270.81,-73.61
130874,326.29,-347.35,93.93
130977,-109.74,-136.66,297.42
131080,288.76,247.92,-156.98
131183,177.37,299.07,10.86
131285,417.66,-291.87,307.86
131389,629.33,46.63,269.29
131492,65.61,190.37,50.11
131595,-472.53,-594.60,-171.75
131698,88.44,259.83,69.03
131801,75.68,-126.71,-25.27
131904,111.21,212.59,259.77
132008,36.32,83.56,8.00
132111,-255.62,-307.98,-120.18
132213,178.53,172.42,104.43
132316,2.20,-82.15,-67.02
132419,236.21,265.14,159.30
132521,52.92,167.42,-107.91
132624,-128.30,-237.61,-108.40
132728,143.43,134.09,334.23
132830,80.32,98.57,39.31
132933,-288.51,-309.51,-218.69
133037,117.74,251.95,-20.57
133140,55.54,-14.22,56.76
133244,-311.28,-31.80,-139.77
133347,56.88,262.21,40.83
133449,-53.71,-59.69,75.99
133552,155.88,147.40,-315.31
133655,193.36,53.83,-8.54
133758,-105.90,-139.47,-57.80
133861,198.24,-123.66,-33.94
133964,-46.39,-56.88,-7.45
134068,-68.36,-116.03,38.33
134171,-184.14,-209.90,1.53
134274,-203.61,5.74,-135.68
134377,42.18,-245.73,55.85
134480,46.75,65.25,59.39
134583,35.16,219.06,69.27
134686,4.64,-53.77,0.12
134789,121.95,4.94,10.38
134891,32.17,77.58,31.37
134994,-102.54,-40.83,-210.69
135097,85.57,-5.74,80.32
135201,-34.91,19.96,44.31
135304,11.90,-18.92,-29.79
135406,46.94,11.23,64.33
135508,-36.19,48.89,25.76
135611,29.97,-55.79,-105.83
135713,12.70,49.56,108.03
135816,6.04,-35.03,-65.55
135919,12.39,29.42,-44.62
136022,-3.11,44.56,109.01
136125,-3.60,-49.26,-88.50
136228,-29.66,21.48,62.93
136332,-10.80,-12.27,16.97
136434,1.59,-10.50,-52.43
136536,-5.92,2.99,48.03
136639,5.86,13.73,-21.79
136743,3.78,-8.61,22.64
136846,3.11,25.63,25.39
136949,12.45,6.41,37.48
137052,-0.06,-65.86,-143.07
137155,-16.30,25.27,107.24
137257,-7.14,3.48,-23.50
137360,-13.85,26.25,22.71
137464,3.54,-9.58,10.56
137567,36.56,19.53,27.77
137669,-4.76,-7.93,-10.44
137772,-14.10,27.59,40.47
137875,36.74,-24.11,-52.73
137978,2.93,-10.99,8.48
138080,-18.62,43.03,32.65
138183,-38.64,-13.92,-7.26
138286,84.90,-0.92,-54.50
138389,-4.58,14.40,71.11
138491,-13.85,-38.82,-115.72
138593,-6.53,14.71,97.60
138697,26.86,-9.58,-86.55
138800,-37.72,-8.36,5.00
138903,43.21,68.73,-8.73
139006,15.50,2.87,-36.19
139109,-28.38,-28.93,96.13
139212,43.64,90.82,-49.19
139316,19.35,-60.79,-117.19
139419,-19.84,-73.06,115.91
139521,41.99,81.85,85.51
139624,20.81,34.97,-126.40
139727,68.24,-12.70,26.98
139830,0.73,0.85,28.26
139933,-26.37,55.36,-64.45
140037,-40.34,-129.27,-42.42
140140,-13.79,175.29,65.67
140243,-29.79,-193.12,-20.20
140347,-0.18,130.00,8.48
140450,35.16,-75.87,-33.08
140553,-6.53,82.70,33.81
140657,-6.29,-92.41,-19.84
140759,-0.06,108.03,39.67
140863,25.70,-85.94,-24.78
140966,63.48,159.55,18.92
141069,6.29,-100.04,-7.87
141173,70.80,156.49,16.85
141276,6.04,-168.64,20.45
141379,113.59,205.93,-37.96
141482,-10.86,-119.57,48.28
141584,84.35,28.87,66.65
141687,16.60,246.28,-201.90
141789,134.70,-274.41,10.01
141892,-75.26,215.52,326.35
141995,52.61,224.55,-211.06
142098,46.20,-311.28,-106.99
142201,-194.34,103.58,304.93
142304,54.32,137.57,-174.38
142408,5.49,-369.93,-1.59
142510,-32.90,48.65,267.33
142613,-1.59,109.07,-133.48
142715,266.85,-228.27,82.64
142818,-57.74,173.89,133.12
142921,233.76,29.11,-185.73
143024,-5.07,-175.60,218.57
143127,-123.72,225.52,-158.63
143230,87.95,-183.84,-135.56
143333,-59.08,-130.07,271.24
143437,-65.86,297.30,-169.80
143540,46.75,-239.56,57.62
143643,28.26,108.28,146.91
143745,221.31,58.17,-207.46
143848,-95.03,-235.47,178.96
143951,-144.53,389.71,-42.85
144054,125.06,-188.60,-194.46
144157,-35.58,-85.39,313.17
144260,47.91,204.22,-137.08
144363,-59.27,-254.03,62.26
144466,-140.08,287.78,28.69
144568,138.79,67.44,-196.78
144670,62.68,-295.41,190.61
144773,-198.61,393.01,23.13
144875,114.99,-138.98,-215.45
144979,7.14,-193.66,279.72
145081,11.47,284.06,-140.50
145184,-33.51,-238.46,-45.10
145287,26.61,181.40,217.04
145390,319.58,101.99,-164.43
145493,3.72,-237.24,78.80
145595,-281.13,367.74,139.16
145698,64.27,-29.91,-165.77
145801,20.75,-99.06,184.14
145904,45.59,232.97,102.36
146007,300.54,66.71,-130.55
146110,-74.34,-249.15,116.09
146213,185.67,267.15,135.19
146315,117.86,35.77,-35.28
146418,-26.86,-407.23,-36.44
146521,-33.33,392.15,-41.08
146624,-54.69,-252.62,51.09
146726,554.26,-163.02,-210.75
146829,33.14,435.36,-118.96
146932,-106.57,-460.33,44.56
147035,28.50,176.45,-120.06
147138,62.07,340.82,-74.22
147241,-120.00,-578.37,129.21
147344,-4.09,308.72,-67.69
147448,142.27,112.79,17.94
147551,-111.82,-444.82,90.09
147654,-138.43,319.27,-107.97
147757,281.68,23.38,51.33
147859,-125.31,-373.78,140.26
147962,-64.58,235.84,14.53
148065,45.47,99.37,78.12
148168,-86.55,-261.05,-42.42
148271,-350.95,129.94,132.69
148374,112.24,-13.55,116.46
148477,-167.24,58.29,-768.92
148580,54.14,-71.47,429.38
148682,-195.25,75.07,-82.76
148786,-590.82,22.16,-92.77
148889,39.12,-265.50,406.37
148992,-127.44,405.52,-409.00
149095,232.30,-314.27,308.41
149198,-59.02,116.39,6.10
149301,-516.91,-218.63,-36.80
149405,-18.31,-284.55,218.08
149508,-214.23,697.63,-522.46
149611,34.06,-295.84,268.92
149714,114.62,-59.51,-53.83
149816,-297.36,751.10,-800.78
149919,51.64,-65.12,414.92
150022,184.57,40.47,177.43
150125,1.40,525.21,-903.75
150229,124.57,-208.07,392.40
150332,18.43,200.20,-165.89
150435,-58.53,-100.04,38.15
150537,-5.62,-113.53,51.21
150640,26.61,-148.74,74.95
150743,-4.21,-75.01,41.56
150845,-13.67,-14.83,8.79
150948,48.95,-21.36,33.39
151052,109.99,-65.43,111.33
151155,21.67,-68.36,28.75
151258,-194.21,-173.10,-533.51
151360,71.59,155.88,223.63
151463,3.91,-108.28,-150.88
151566,310.55,215.09,338.62
151668,140.75,74.95,174.32
151771,-73.79,-152.89,-565.12
151873,112.06,89.11,167.18
151976,30.03,69.09,-16.72
152079,67.08,48.52,65.43
152182,9.46,6.71,140.14
152285,-91.00,137.21,-190.67
152389,30.21,-36.19,321.66
152493,-2.08,-69.76,173.52
152596,-142.15,-50.66,-583.80
152699,72.69,-83.19,192.32
152802,59.45,-38.70,3.48
152905,3.30,-0.37,9.83
153007,89.36,-17.33,32.23
153110,17.33,-48.89,42.42
153213,23.74,-55.42,92.90
153316,-5.68,-284.30,-394.04
153420,101.38,292.54,126.46
153523,42.48,-87.65,-105.59
153625,81.42,229.92,151.06
153728,88.38,202.58,114.32
153831,-72.39,-4.15,-32.90
153934,-722.23,150.57,-5.98
154037,-108.34,108.22,209.53
154140,-313.84,-92.83,-87.22
154244,405.64,-343.08,-346.31
154347,-368.71,613.71,386.78
154450,292.91,-469.36,-65.98
154552,142.09,-444.70,-268.13
154655,-141.11,456.18,-364.26
154759,55.11,166.63,-181.03
154862,-163.76,-387.39,-243.47
154965,-68.24,-493.90,211.98
155068,39.06,21.55,415.10
155171,443.73,192.87,115.66
155274,159.73,82.28,150.27
155377,-22.40,-173.34,-216.13
155481,-200.26,-163.57,-416.69
155584,52.25,33.51,-18.37
155687,-12.33,-13.85,17.52
155790,-0.67,-8.73,-7.32
155893,16.30,-45.35,3.54
155995,-14.65,-79.77,40.59
156098,349.79,-10.62,-248.96
156201,-38.51,55.30,76.23
156304,75.81,87.65,-179.08
156407,-33.14,17.94,-10.62
156510,6.77,-54.87,-43.09
156612,189.09,-30.40,-154.30
156715,-1.89,-5.37,-2.87
156818,-11.05,-35.28,24.48
156921,-85.02,-323.12,-108.03
157024,55.24,4.52,-74.71
157127,13.98,-5.86,-65.80
157230,-26.61,-33.87,69.89
157333,69.89,336.36,349.37
157436,51.39,37.96,319.21
157539,83.37,-840.94,622.25
157642,-296.45,-1407.96,786.38
157745,326.66,-23.68,340.15
157848,6.84,401.61,-198.73
157951,-306.15,-24.90,-584.59
158054,-322.81,723.45,889.53
158157,157.23,628.42,-1123.60
158260,-241.82,724.55,-359.44
158363,127.20,-179.02,125.61
158467,41.93,-649.66,613.10
158570,150.82,-813.23,1002.56
158673,555.48,-1088.07,238.46
158777,-69.34,53.22,150.94
158879,-95.15,680.54,-460.75
158982,-638.06,1341.80,529.36
159086,-519.10,623.23,-914.92
159189,-35.58,286.99,-278.20
159292,513.18,-118.35,310.12
159395,-88.99,-1026.43,553.22
159499,96.13,-760.68,604.61
159601,261.96,-771.24,431.58
159704,-1.77,-224.43,173.83
159807,-149.66,287.48,38.45
159909,-342.47,381.35,-421.26
160012,-556.58,110.17,59.14
160115,507.20,1003.91,-371.95
160218,-307.43,-55.60,-535.10
160321,-125.24,79.10,152.89
160424,-33.75,-115.97,134.22
160527,-7.87,126.22,21.61
160629,50.78,345.58,254.52
160732,3.48,332.89,222.17
160835,23.19,-296.26,-108.22
160937,54.50,-76.42,-42.05
161040,101.56,47.55,31.56
161143,48.71,-93.20,45.65
161247,129.52,89.05,-109.68
161350,-387.21,-28.87,-9.16
161452,-49.26,-221.07,-133.73
161556,-27.53,-97.35,-58.23
161659,-115.05,45.53,61.22
161762,300.35,-191.71,94.42
161864,245.67,120.00,793.70
161967,-559.20,-562.62,463.01
162070,-505.98,832.34,690.80
162173,-133.00,-141.85,-1537.90
162276,-75.68,229.61,734.19
162379,162.41,-281.56,-148.62
162482,66.41,-372.50,-166.93
162586,46.57,349.73,389.65
162688,-353.76,-247.56,-70.68
162790,11.60,-317.87,-33.81
162893,33.33,71.23,-241.39
162996,-31.62,260.25,417.24
163099,-148.86,-186.34,355.47
163202,-206.18,-196.29,220.40
163305,207.89,-35.40,-25.57
163408,53.59,306.64,123.60
163511,212.40,485.41,-5.92
163613,46.20,24.84,95.09
163716,70.37,192.32,-19.90
163818,-12.63,-63.96,-5.86
163921,36.32,-58.35,-83.07
164024,-47.49,6.71,43.03
164127,-83.98,-137.27,62.56
164230,12.57,17.70,184.39
164333,127.38,-108.03,-107.54
164435,-284.00,-180.73,-157.84
164538,150.02,85.82,-278.14
164642,203.49,74.40,106.45
164745,46.94,-56.15,-70.62
164848,53.65,-99.73,27.59
164950,300.60,208.19,-219.85
165053,92.53,112.18,-92.16
165156,15.87,-21.61,21.24
165259,-14.77,-22.34,-6.35
165362,-47.12,79.04,8.42
165465,-31.98,11.35,12.88
165568,-29.48,-87.52,-26.73
165671,19.10,-48.46,1.89
165773,-56.34,67.57,42.48
165876,22.83,104.00,82.40
165978,-30.82,-85.08,38.57
166081,21.18,152.16,22.95
166184,-11.90,62.44,33.94
166287,-95.21,-295.47,53.96
166390,-21.91,140.50,-15.08
166493,196.66,146.85,-127.20
166595,-197.63,-357.67,232.67
166698,153.56,244.57,-245.42
166800,-220.89,-217.16,226.32
166904,24.17,-221.80,135.86
167007,199.28,406.56,-282.10
167109,-151.12,-334.11,275.51
167213,79.22,-59.08,53.77
167316,167.60,443.79,-515.32
167419,-95.89,-189.88,269.65
167522,-60.36,-42.72,-29.42
167626,-0.61,-22.77,-44.92
167729,114.32,-65.12,-164.18
167832,73.97,-111.02,-30.82
167935,49.68,-66.22,297.30
168038,114.01,-38.15,-205.69
168141,30.82,-72.51,5.92
168244,-23.13,-79.10,322.51
168347,86.85,135.07,-513.73
168449,12.45,50.42,358.40
168552,27.28,-6.47,42.18
168655,178.65,-35.58,-363.65
168757,96.68,-41.87,-109.25
168859,-139.59,218.32,387.82
168962,7.26,-305.79,-289.49
169065,-489.32,275.39,418.82
169168,30.09,170.65,99.30
169271,146.55,-257.45,-525.57
169374,-356.63,166.99,169.37
169477,41.63,2.32,-5.49
169580,-0.49,-9.03,-91.74
169683,-316.53,-214.66,569.15
169785,289.43,-219.60,-211.06
169889,22.22,98.45,110.96
169991,135.44,74.28,95.40
170093,-3.11,-136.84,-392.94
170197,-62.26,310.24,471.01
170299,32.17,-222.72,-44.01
170403,51.39,-270.75,-468.93
170505,-167.11,270.14,355.53
170608,-57.56,-72.14,-38.64
170711,199.16,-22.34,-276.92
170815,-162.66,207.89,409.79
170917,114.07,-55.18,-297.42
171020,49.26,-40.41,260.50
171123,236.94,190.43,197.88
171226,-120.06,-295.96,-343.26
171329,-302.80,-80.26,231.02
171432,0.12,147.83,209.35
171536,44.25,-240.91,-283.51
171638,-147.16,253.36,158.33
171741,24.84,-262.15,-50.66
171843,-379.76,79.59,299.74
171946,-31.56,97.66,165.10
172048,307.62,-118.96,-422.49
172151,-830.02,207.64,394.35
172254,6.84,-346.92,-51.82
172357,-288.39,258.61,376.22
172459,-209.23,76.60,75.32
172562,262.82,-234.37,-616.46
172665,-103.64,274.84,373.41
172768,173.95,-204.77,-234.62
172872,-219.30,-34.30,71.96
172974,-127.01,26.37,112.18
173077,124.76,-10.44,-39.73
173180,-144.71,-95.46,15.69
173283,-40.34,6.10,1.95
173386,8.00,-29.30,-14.28
173489,-2.01,-46.94,-20.81
173593,6.77,-27.34,-3.11
173696,4.94,9.03,-2.01
173799,10.99,-2.38,1.46
173902,-6.65,9.77,8.48
174005,13.98,-16.30,2.08
174108,2.01,-5.25,-2.87
174211,-4.70,8.79,-0.18
174315,1.04,2.32,-0.18
174418,-2.08,-3.48,-4.21
174520,-5.19,-0.06,-0.37
174623,-5.00,-4.27,-0.98
174726,-6.41,-0.37,0.18
174828,-2.99,-2.01,-5.13
174931,5.62,0.37,-3.48
175034,4.33,1.16,-2.20
175137,1.83,5.55,-5.19
175240,3.30,-2.14,-4.21
175343,2.01,-2.20,-1.65
175446,4.88,2.75,1.10
175549,2.93,2.38,0.24
175652,-2.01,-0.49,0.24
175754,-5.74,-4.46,16.30
175857,-180.85,162.48,265.69
175960,308.53,64.15,47.67
176062,-129.88,-366.39,-300.23
176165,-205.08,233.22,255.86
176268,358.89,-79.90,-92.10
176371,239.56,-220.21,124.39
176474,-180.97,158.08,135.74
176577,177.25,-93.51,-99.37
176680,204.77,-173.83,163.21
176783,-94.54,136.66,103.82
176886,118.77,-236.76,-223.14
176990,-259.70,133.61,286.74
177093,202.33,151.55,92.77
177195,-405.15,-359.86,-387.39
177299,-9.58,220.34,61.16
177402,-78.00,-17.46,3.23
177505,-71.78,-43.64,-57.37
177609,-120.61,42.79,142.88
177712,-170.10,34.18,251.34
177814,185.24,8.36,-320.68
177917,-90.64,42.36,182.92
178019,-11.78,-44.19,82.46
178122,-8.61,1.59,-79.53
178225,6.59,-0.06,-62.81
178328,-64.39,-42.11,250.43
178431,26.37,-82.28,-319.40
178534,86.43,132.39,23.38
178638,-19.84,-113.95,199.83
178740,-5.00,126.22,-155.27
178842,-77.82,-132.08,280.27
178945,-84.84,-149.23,-173.10
179048,1.22,104.06,-19.10
179151,103.15,-156.56,308.90
179254,-112.18,154.91,-272.03
179357,70.37,-109.13,201.17
179460,-26.43,-13.67,-116.82
179564,-97.05,70.98,-12.02
179666,113.16,-85.14,190.06
179769,-54.14,145.32,-255.43
179872,18.13,-96.68,51.70
179975,-1.46,-44.98,6.41
180078,-74.65,129.39,-81.91
180181,106.99,-124.82,230.90
180284,-54.63,64.33,-109.68
180387,-17.58,-8.54,-114.56
180490,18.80,-147.77,74.16
180593,29.79,277.16,-133.79
180695,-3.97,-78.67,200.26
180798,-87.22,-83.86,-115.36
180900,-231.63,70.86,86.30
181003,113.22,-135.44,192.02
181106,-46.94,110.47,-310.24
181208,103.39,5.49,308.65
181311,181.64,-7.32,154.60
181414,-247.31,-192.57,-393.25
181518,124.94,-115.60,137.02
181620,130.07,212.77,229.68
181723,53.71,-169.31,-259.22
181826,-70.43,-157.59,-134.16
181928,41.56,240.60,112.85
182031,-20.87,50.66,91.98
182135,-58.84,-271.55,-207.15
182238,-137.76,-76.84,362.37
182341,80.51,229.98,146.30
182443,158.26,28.99,-99.67
182546,-111.88,-158.45,-203.80
182649,-53.77,-107.97,254.15
182752,56.40,89.72,48.95
182855,104.92,141.11,216.25
182958,-38.15,-16.54,-279.05
183060,-171.57,-209.66,-186.71
183163,97.53,-112.37,-68.66
183267,-68.91,43.33,-40.47
183370,39.00,172.18,197.57
183472,132.20,95.15,130.07
183575,-116.88,-48.22,-243.77
183679,-25.09,-208.62,-254.09
183781,-24.41,-121.15,65.31
183884,-25.82,77.21,-80.69
183987,36.07,124.94,115.60
184090,189.70,121.52,319.70
184193,-174.56,-131.65,-264.22
184296,-81.60,-196.11,-255.55
184400,6.84,-64.21,72.33
184503,2.08,60.30,-77.76
184606,16.91,195.19,124.08
184709,160.16,122.86,210.57
184811,-121.89,-118.47,-269.59
184914,2.38,-189.03,-134.89
185017,0.37,1.71,9.09
185119,-40.71,69.40,21.61
185222,161.93,156.37,379.58
185325,-38.33,19.71,-81.60
185428,-114.81,-223.21,-330.75
185531,19.04,-142.21,13.12
185634,13.06,66.89,-48.77
185737,-4.46,163.27,88.81
185840,214.36,114.01,246.58
185942,-106.93,-82.95,-203.92
186045,-58.65,-226.50,-137.15
186148,-8.12,-27.34,55.24
186251,-20.87,67.75,-49.38
186354,110.41,185.30,323.61
186457,60.06,14.59,23.50
186560,-123.96,-157.84,-246.64
186663,-163.76,-290.34,-48.95
186767,49.32,148.01,10.44
186869,143.62,186.77,269.17
186971,39.43,57.37,10.74
187074,-116.82,-114.75,-265.08
187177,-58.29,-291.08,-47.73
187280,-10.07,13.00,45.35
187383,256.77,246.89,329.47
187486,10.13,66.53,-74.95
187589,-146.91,-162.96,-234.31
187692,-50.66,-250.85,-6.23
187795,34.91,38.15,-10.31
187897,257.93,257.81,385.44
187999,109.56,104.55,-240.11
188102,-223.21,-129.64,-189.94
188205,-54.99,-352.66,-70.56
188308,-2.26,-29.72,4.15
188411,155.64,155.52,85.02
188514,506.29,437.93,-69.34
188616,-112.79,-183.35,-176.33
188720,-73.91,-312.68,185.97
188823,38.57,63.72,1.53
188926,89.23,216.98,-53.96
189029,187.99,252.69,224.37
189132,27.71,-69.03,-121.15
189235,-102.05,-253.60,-174.01
189338,-60.79,-20.87,-189.21
189441,-56.46,88.20,4.58
189544,95.70,274.23,289.67
189647,-25.82,-39.79,-8.00
189751,-47.85,-171.02,-250.37
189853,-45.10,-150.76,-90.39
189956,5.49,-9.95,37.84
190059,-24.90,55.05,112.43
190161,14.28,150.63,280.76
190264,-18.01,0.18,-32.65
190367,-4.21,-265.99,-199.10
190470,-43.52,-112.00,17.58
190573,38.15,48.03,14.40
190677,26.00,201.54,44.13
190780,6.53,165.77,232.24
190882,45.35,-43.82,-24.90
190985,-68.48,-249.57,-129.15
191088,59.27,-38.57,64.88
191191,54.44,111.57,29.91
191294,174.87,193.54,147.95
191397,-22.34,45.10,1.40
191500,-159.79,-285.64,-172.36
191603,-115.66,-192.69,-54.38
191706,-18.92,71.90,-82.95
191809,54.69,226.62,96.25
191912,137.02,179.26,51.39
192015,-8.73,-249.27,-29.11
192118,-34.12,-164.98,54.81
192221,-54.57,26.67,-61.58
192323,-101.32,273.01,183.41
192427,50.11,-6.59,83.50
192530,148.19,-40.04,-38.39
192633,78.25,-0.12,-15.99
192736,25.88,22.77,18.62
192839,58.04,-26.67,26.12
192942,34.12,10.44,12.45
193045,-244.93,-160.52,29.36
193148,-33.14,-58.65,-56.70
193252,-51.15,192.50,-42.42
193355,18.49,24.41,-33.57
193458,5.98,-132.75,-4.64
193561,41.99,-17.94,-83.74
193664,19.59,-1.65,-51.03
193767,65.55,87.77,46.14
193869,42.79,27.59,17.70
193972,46.39,-14.22,-3.72
194075,66.28,82.52,-39.86
194177,-45.78,20.14,3.60
194280,-56.64,29.48,7.26
194383,-76.35,90.33,54.93
194486,-28.38,-50.90,-85.69
194589,-9.09,-50.60,28.26
194692,-10.19,-7.51,46.08
194795,-7.93,2.69,6.10
194899,6.10,-1.65,15.69
195002,11.05,-22.95,3.91
195104,0.61,-26.92,-22.83
195207,-4.94,-69.70,-62.87
195310,45.96,-34.67,-21.06
195413,-16.78,-11.47,-9.77
195516,-7.51,0.61,16.91
195619,-0.43,52.86,24.11
195722,-40.59,108.52,39.25
195825,39.61,-3.23,34.55
195927,-8.85,-89.78,22.46
196030,-56.70,0.55,-46.75
196132,-28.50,77.88,40.71
196235,5.86,17.21,25.15
196338,-20.51,-68.48,-28.63
196441,-40.53,-57.92,-35.22
196545,-34.97,59.63,-14.10
196648,31.92,12.39,28.69
196751,53.59,15.20,59.81
196853,21.48,-84.59,4.09
196955,-38.51,-62.74,-42.72
197058,48.95,122.25,38.27
197161,29.42,56.58,19.47
197263,37.72,1.95,20.20
197367,-43.76,-6.41,33.94
197470,-13.18,59.63,-3.36
197573,29.05,73.49,24.05
197677,5.68,107.30,-31.74
197780,-34.42,-62.93,0.92
197883,-40.71,-12.15,-16.30
197986,-13.18,-46.39,-31.62
198089,75.74,-32.10,-29.54
198192,-31.92,-23.86,-18.25
198295,62.32,14.95,-8.79
198398,58.04,3.30,-8.54
198501,31.74,14.04,-5.98
198604,33.75,26.79,-2.62
198706,28.63,-0.06,26.55
198810,26.86,-13.06,42.66
198912,6.77,-7.81,-4.82
199015,16.60,3.36,-8.67
199118,-39.00,-11.17,-80.87
199221,-18.49,33.51,-62.81
199324,14.04,-6.65,28.93
199427,44.19,28.44,43.15
199531,5.55,0.31,19.65
199633,3.66,-13.92,-0.55
199737,-10.62,-30.82,-17.88
199840,-40.34,-48.83,-6.65
199944,-39.73,-1.83,20.14
200047,-2.26,3.85,3.78
200150,-3.23,32.04,-12.39
200253,-13.12,-30.21,16.66
200356,-23.68,-84.29,4.82
200459,-9.95,55.42,-3.36
200562,23.93,14.47,7.14
200665,-39.37,-1.40,-36.50
200768,-0.18,-15.56,-39.31
200870,-0.06,14.83,-4.46
200974,7.26,27.89,7.08
201077,-6.90,-9.95,-9.34
201180,9.70,2.81,-8.36
201282,12.15,10.50,-1.34
201385,1.53,6.84,-2.62
201488,2.38,5.37,-2.38
201591,8.54,1.16,-1.46
201694,2.20,2.93,0.00
201797,2.32,7.69,-0.18
201899,1.28,11.90,3.54
202002,1.59,7.87,3.23
202104,0.92,5.62,4.76
202207,86.43,-54.57,71.11
202309,24.48,36.62,-4.94
202412,-54.93,-118.71,-171.75
202516,7.81,-159.00,-96.31
202619,-9.22,324.65,245.42
202722,60.73,111.08,34.79
202826,-115.36,-107.54,-114.01
202928,-63.90,-79.47,-42.05
203031,27.71,-17.46,120.91
203134,30.46,82.46,33.39
203236,-49.74,59.14,-41.81
203339,23.38,-129.76,16.30
203442,-56.52,-32.17,-55.97
203545,50.84,160.52,65.00
203648,-9.16,66.35,51.15
203751,54.32,-73.85,-18.55
203853,-53.83,10.80,35.64
203956,-20.57,87.83,63.54
204058,46.94,66.77,46.51
204161,-18.31,29.66,3.23
204264,-51.64,-25.57,-14.95
204366,-14.83,-4.70,11.35
204470,-12.33,-6.96,66.77
204572,18.92,-26.00,40.04
204675,-15.38,-13.18,-11.90
204779,-20.14,-2.26,-24.60
204882,-8.79,7.87,-3.72
204984,5.19,18.07,-2.01
205087,6.04,27.65,38.57
205189,-26.12,1.53,-7.20
205292,-42.60,-23.44,-15.20
205395,2.14,42.79,12.88
205499,4.64,5.98,8.73
205601,1.71,30.15,1.89
205704,-11.78,7.81,-12.57
205807,19.71,40.95,5.43
205909,4.88,-23.01,-14.04
206012,-5.19,4.33,-3.97
206114,0.85,-2.69,-4.39
206217,-24.35,-21.61,10.56
206321,-6.84,4.21,1.77
206424,-4.88,4.27,-1.04
206527,-2.01,-0.61,1.04
206631,0.37,-0.55,-0.61
206733,-0.92,-1.10,5.80
206836,-4.94,8.42,-2.20
206939,0.24,5.13,0.18
207043,3.54,2.01,0.92
207145,-4.33,-6.90,-5.86
207248,2.20,-0.37,-1.34
207351,2.01,-1.10,-0.49
207454,1.22,-2.44,-3.36
207558,1.28,-5.49,0.37
207660,-1.40,1.65,-7.81
207762,0.37,2.87,-6.65
207866,6.10,-4.82,5.31
207968,5.62,-0.85,2.26
208070,34.55,-1.53,6.77
208173,-1.53,6.77,9.16
208275,-43.27,-32.29,-16.91
208378,-42.72,-27.10,3.11
208481,-12.02,-0.18,0.43
208584,7.14,7.51,8.48
208687,-6.96,2.32,-1.53
208791,-16.78,-7.45,2.08
208894,-7.20,0.67,3.91
208996,-2.81,3.91,0.98
209099,-22.46,3.72,2.81
209201,-156.07,-10.50,-19.29
209304,-84.84,0.37,-13.00
209406,-29.17,-11.54,-13.49
209510,-32.29,-1.10,-11.23
209613,-46.39,22.40,-33.20
209716,0.61,-11.41,29.30
209820,25.63,-20.75,-22.95
209922,-11.60,-17.46,17.15
210026,22.22,-8.12,32.65
210129,3.85,-21.06,-7.51
210231,3.30,-10.56,1.04
210333,-19.17,-14.83,-48.22
210437,-1.28,-4.52,15.20
