timestamp,accelX,accelY,accelZ
2025-02-17 12:10:08,0.07,-0.25,1.0
2025-02-17 12:10:08,0.06,-0.25,0.88
2025-02-17 12:10:08,0.08,-0.27,0.88
2025-02-17 12:10:08,0.07,-0.26,0.97
2025-02-17 12:10:08,0.08,-0.26,0.99
2025-02-17 12:10:08,0.07,-0.26,1.0
2025-02-17 12:10:09,0.07,-0.25,1.01
2025-02-17 12:10:09,0.07,-0.25,1.0
2025-02-17 12:10:09,0.08,-0.26,0.98
2025-02-17 12:10:09,0.09,-0.2,1.29
2025-02-17 12:10:09,0.08,-0.23,1.07
2025-02-17 12:10:09,0.08,-0.26,0.96
2025-02-17 12:10:09,0.09,-0.2,1.27
2025-02-17 12:10:09,0.08,-0.23,1.08
2025-02-17 12:10:09,0.08,-0.26,0.96
2025-02-17 12:10:09,0.09,-0.21,1.23
2025-02-17 12:10:10,0.08,-0.24,1.05
2025-02-17 12:10:10,0.08,-0.26,0.95
2025-02-17 12:10:10,0.07,-0.32,0.88
2025-02-17 12:10:10,0.05,-0.25,1.02
2025-02-17 12:10:10,0.08,-0.26,0.98
2025-02-17 12:10:10,0.07,-0.25,1.02
2025-02-17 12:10:10,0.08,-0.25,1.05
2025-02-17 12:10:10,0.07,-0.26,0.99
2025-02-17 12:10:10,0.08,-0.26,0.95
2025-02-17 12:10:11,0.07,-0.26,0.97
2025-02-17 12:10:11,0.08,-0.26,0.97
2025-02-17 12:10:11,0.07,-0.26,0.98
2025-02-17 12:10:11,0.08,-0.26,0.97
2025-02-17 12:10:11,0.08,-0.27,0.91
2025-02-17 12:10:11,0.07,-0.25,0.99
2025-02-17 12:10:11,0.08,-0.26,0.99
2025-02-17 12:10:11,0.07,-0.26,0.99
2025-02-17 12:10:11,0.08,-0.27,0.94
2025-02-17 12:10:11,0.07,-0.26,0.99
2025-02-17 12:10:12,0.07,-0.26,0.99
2025-02-17 12:10:12,0.08,-0.26,0.98
2025-02-17 12:10:12,0.07,-0.26,0.97
2025-02-17 12:10:12,0.07,-0.25,1.0
2025-02-17 12:10:12,0.08,-0.29,0.94
2025-02-17 12:10:12,0.07,-0.27,0.99
2025-02-17 12:10:12,0.07,-0.24,1.04
2025-02-17 12:10:12,0.08,-0.26,0.96
2025-02-17 12:10:12,0.08,-0.26,0.96
2025-02-17 12:10:12,0.07,-0.26,0.98
2025-02-17 12:10:13,0.08,-0.26,0.98
2025-02-17 12:10:13,0.08,-0.26,0.97
2025-02-17 12:10:13,0.07,-0.26,0.99
2025-02-17 12:10:13,0.08,-0.26,0.94
2025-02-17 12:10:13,0.08,-0.27,0.94
2025-02-17 12:10:13,0.07,-0.26,0.99
2025-02-17 12:10:13,0.07,-0.26,0.9
2025-02-17 12:10:13,0.08,-0.27,0.91
2025-02-17 12:10:13,0.07,-0.25,0.99
2025-02-17 12:10:14,0.07,-0.26,0.87
2025-02-17 12:10:14,0.08,-0.26,0.88
2025-02-17 12:10:14,0.11,-0.21,0.91
2025-02-17 12:10:14,0.1,-0.26,0.9
2025-02-17 12:10:14,0.08,-0.28,0.95
2025-02-17 12:10:14,0.09,-0.25,0.86
2025-02-17 12:10:14,0.09,-0.27,0.97
2025-02-17 12:10:14,0.09,-0.27,0.98
2025-02-17 12:10:14,0.08,-0.22,0.94
2025-02-17 12:10:15,0.09,-0.26,0.96
2025-02-17 12:10:15,0.09,-0.27,0.97
2025-02-17 12:10:15,0.09,-0.18,0.92
2025-02-17 12:10:15,0.1,-0.25,0.89
2025-02-17 12:10:15,0.09,-0.28,0.95
2025-02-17 12:10:15,0.07,-0.28,0.91
2025-02-17 12:10:15,0.07,-0.28,1.0
2025-02-17 12:10:15,0.07,-0.24,1.04
2025-02-17 12:10:15,0.08,-0.2,1.28
2025-02-17 12:10:15,0.08,-0.24,1.06
2025-02-17 12:10:16,0.08,-0.27,0.96
2025-02-17 12:10:16,0.09,-0.19,1.32
2025-02-17 12:10:16,0.08,-0.24,1.06
2025-02-17 12:10:16,0.08,-0.25,0.99
2025-02-17 12:10:16,0.06,-0.24,1.17
2025-02-17 12:10:16,0.07,-0.25,1.05
2025-02-17 12:10:16,0.08,-0.26,0.99
2025-02-17 12:10:16,0.06,-0.26,1.19
2025-02-17 12:10:16,0.07,-0.25,1.05
2025-02-17 12:10:16,0.08,-0.26,1.02
2025-02-17 12:10:17,0.1,-0.19,1.27
2025-02-17 12:10:17,0.09,-0.23,1.09
2025-02-17 12:10:17,0.09,-0.26,0.96
2025-02-17 12:10:17,0.03,-0.33,1.08
2025-02-17 12:10:17,0.06,-0.23,1.11
2025-02-17 12:10:17,0.1,-0.24,1.06
2025-02-17 12:10:17,0.09,-0.2,1.27
2025-02-17 12:10:17,0.1,-0.24,1.01
2025-02-17 12:10:17,0.08,-0.26,0.93
2025-02-17 12:10:18,0.07,-0.28,0.83
2025-02-17 12:10:18,0.1,-0.28,0.84
2025-02-17 12:10:18,0.08,-0.28,0.92
2025-02-17 12:10:18,0.08,-0.25,1.02
2025-02-17 12:10:18,0.08,-0.25,1.02
2025-02-17 12:10:18,0.09,-0.27,0.95
2025-02-17 12:10:18,0.09,-0.26,0.97
2025-02-17 12:10:18,0.08,-0.26,0.98
2025-02-17 12:10:18,0.09,-0.26,0.98
2025-02-17 12:10:18,0.09,-0.26,0.97
2025-02-17 12:10:19,0.09,-0.26,0.97
2025-02-17 12:10:19,0.09,-0.26,0.98
2025-02-17 12:10:19,0.09,-0.26,0.97
2025-02-17 12:10:19,0.09,-0.26,0.98
2025-02-17 12:10:19,0.09,-0.26,0.97
2025-02-17 12:10:19,0.08,-0.26,0.98
2025-02-17 12:10:19,0.09,-0.26,0.94
2025-02-17 12:10:19,0.09,-0.26,0.96
2025-02-17 12:10:19,0.08,-0.26,0.99
2025-02-17 12:10:19,0.08,-0.26,1.01
2025-02-17 12:10:20,0.07,-0.24,1.02
