Timestamp,X,Y,Z
2025-03-04 17:16:46,0.67,0.12,0.12
2025-03-04 17:16:47,0.98,0.12,0.0
2025-03-04 17:16:47,0.85,0.18,0.06
2025-03-04 17:16:48,0.55,0.24,0.43
2025-03-04 17:16:48,0.61,-0.12,0.12
2025-03-04 17:16:48,0.92,0.12,0.12
2025-03-04 17:16:49,0.43,0.31,0.43
2025-03-04 17:16:49,0.43,0.18,0.43
2025-03-04 17:16:50,0.37,0.24,0.49
2025-03-04 17:16:50,0.61,0.24,0.31
2025-03-04 17:16:51,0.55,0.18,0.43
2025-03-04 17:16:51,0.43,0.24,0.49
2025-03-04 17:16:51,0.31,0.31,0.67
2025-03-04 17:16:52,0.79,0.24,0.31
2025-03-04 17:16:52,0.43,0.43,0.49
2025-03-04 17:16:52,0.61,0.12,0.49
2025-03-04 17:16:53,0.24,0.31,0.73
2025-03-04 17:16:53,0.61,0.24,0.43
2025-03-04 17:16:54,0.49,0.49,0.43
2025-03-04 17:16:54,0.61,0.49,0.55
2025-03-04 17:16:55,0.43,0.43,0.43
2025-03-04 17:16:55,0.61,0.24,0.37
2025-03-04 17:16:55,0.43,0.24,0.55
2025-03-04 17:16:56,0.67,0.0,0.43
2025-03-04 17:16:56,0.55,0.12,0.37
2025-03-04 17:16:57,0.55,0.12,0.31
2025-03-04 17:16:57,0.55,0.18,0.43
2025-03-04 17:16:57,0.31,-0.31,0.31
2025-03-04 17:16:58,0.49,0.18,0.43
2025-03-04 17:16:58,0.61,0.06,0.43
2025-03-04 17:16:59,0.43,0.0,0.55
2025-03-04 17:16:59,0.79,0.18,0.18
2025-03-04 17:16:59,0.73,0.12,0.18
2025-03-04 17:17:00,0.37,0.24,0.61
2025-03-04 17:17:00,0.73,0.12,0.31
2025-03-04 17:17:01,0.43,0.24,0.43
2025-03-04 17:17:01,0.67,0.24,0.37
2025-03-04 17:17:02,0.67,0.12,0.31
2025-03-04 17:17:02,0.31,0.43,0.67
2025-03-04 17:17:03,0.85,0.24,0.31
